SKU,Photo,Brand,Type,Model #,Dial,Product Description,Price,# of links / screw,Paper,Date,Serial #,Box,Status,More Photos,Notes,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
10249,,Cartier,Unworn,WSSA0032,WHITE,SANTOS DUMONT SS XL BLACK STRAP,"$6,600.00",Leather Strap,With Card,2026,XXXX69FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10996,,Cartier,Unworn,WSSA0039,BLACK,"SANTOS DE CARTIER LARGE BLACK, BLACK STEEL BEZEL RUBBER STRAP and ALLIGATOR STRAP","$8,500.00",Rubber / Leather,With Card,2026,XXXX89GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11041,,Cartier,Unworn,WSSA0039,BLACK,"SANTOS DE CARTIER LARGE BLACK, BLACK STEEL BEZEL RUBBER STRAP and ALLIGATOR STRAP","$8,500.00",Rubber / Leather,With Card,2026,XXXX24GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11115,,Cartier,Unworn,WSSA0039,BLACK,"SANTOS DE CARTIER LARGE BLACK, BLACK STEEL BEZEL RUBBER STRAP and ALLIGATOR STRAP","$8,500.00",Rubber / Leather,With Card,2026,XXXX18GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11126,,Cartier,Unworn,WSSA0039,BLACK,"SANTOS DE CARTIER LARGE BLACK, BLACK STEEL BEZEL RUBBER STRAP and ALLIGATOR STRAP","$8,500.00",Rubber / Leather,With Card,2026,XXXX77GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10246,,Cartier,Unworn,WSSA0046,BLACK,SANTOS - DUMONT SS BLACK LACQUER BZ LARGE LEATHER STRAP,"$7,900.00",Leather Strap,With Card,1-Feb-2026,XXXX14FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10577,,Cartier,Unworn,WSSA0046,BLACK,SANTOS - DUMONT SS BLACK LACQUER BZ LARGE LEATHER STRAP,"$8,000.00",Leather Strap,With Card,1-Jun-2026,XXXX46FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11113,,Cartier,Unworn,WSSA0061,GREEN,SANTOS DE CARTIER WATCH GREEN MEDIUM SS / LEATHER STRAP,"$7,150.00",Full Links / Leather Strap,With Card,2026,XXXX52GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11127,,Cartier,Unworn,WSSA0061,GREEN,SANTOS DE CARTIER WATCH GREEN MEDIUM SS / LEATHER STRAP,"$7,150.00",Full Links / Leather Strap,With Card,2026,XXXX47FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10398,,Cartier,Unworn,WSSA0071,BLUE,SANTOS DE CARTIER WATCH BLUE LARGE SS / LEATHER STRAP,"$7,800.00",Full Links,With Card,2026,XXXX55GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
